Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,seasonal,False,False,DLP,582.638,21.210729030375155,0.8297708690660933,704.2533333333333,102.8,2.074153423309326,5
base,seasonal,False,False,DLP_Blind,579.8410000000001,31.425255034764692,0.834293949114489,711.6533333333333,99.8,5.033609867095947,5
base,seasonal,True,True,Oracle,672.4886,35.097855710000374,0.426043822625984,567.2333333333333,306.4,1.0150994300842284,5
base,seasonal,True,True,DLP,506.584,35.02716237436307,0.668936940004605,712.4066666666666,154.4,7.117641735076904,5
base,seasonal,True,True,DLP_Blind,475.304,25.97579669615544,0.7449168020285171,724.6333333333334,119.4,11.993612337112427,5
base,seasonal,True,False,Oracle,516.8643999999999,43.29310835040607,0.8255104620985314,615.3133333333333,95.2,0.9564974784851075,5
base,seasonal,True,False,DLP,415.837,34.77264076828217,0.8786688630680821,741.5,59.2,7.862790250778199,5
base,seasonal,True,False,DLP_Blind,445.429,16.99305781782667,0.8819883875427031,740.8399999999999,59.0,7.152211427688599,5
base,shock,False,True,Oracle,1453.193,69.03728250445553,0.9934546924345377,511.36,6.0,0.7229803562164306,5
base,shock,False,True,DLP,1408.02,68.3817548765751,0.9066229026841046,587.82,84.6,4.25565357208252,5
base,shock,False,True,DLP_Blind,1367.23,71.64841065927423,0.5734976788372868,597.68,379.4,2.0716755867004393,5
base,shock,False,False,Oracle,1441.375,59.645317868211606,0.9941082872057795,514.24,5.4,0.17312173843383788,5
base,shock,False,False,DLP,1353.014,48.20816148744929,0.9676156888571942,603.3399999999999,29.2,2.1772027969360352,5
base,shock,False,False,DLP_Blind,1098.565,52.74966037805363,0.8425998119117498,650.8733333333333,140.0,3.3649852752685545,5
base,shock,True,True,Oracle,1539.8902000000003,103.64985322787486,0.9775246925142351,491.20666666666665,20.4,0.3222666263580322,5
base,shock,True,True,DLP,1028.5919999999999,127.51624800785197,0.9274180308625111,655.5400000000001,48.0,3.9856045722961424,5
base,shock,True,True,DLP_Blind,887.548,78.07725972394266,0.7994081123406683,665.6600000000001,131.8,3.792702579498291,5
base,shock,True,False,Oracle,1508.0493999999999,118.30209237811474,0.9836111670153438,499.27333333333337,15.0,0.27021017074584963,5
base,shock,True,False,DLP,1082.629,112.31470252820867,0.9592343769237409,650.6866666666667,31.0,2.3086268424987795,5
base,shock,True,False,DLP_Blind,820.6290000000001,73.32495464710496,0.9151441835207901,685.6533333333333,56.8,3.4945083618164063,5
base,trend+seasonal,False,True,Oracle,1549.8776000000003,69.78726543317187,0.07789145109763655,418.23999999999995,925.6,0.21751270294189454,5
base,trend+seasonal,False,True,DLP,1510.2530000000002,63.80344932681935,0.062105049072874216,488.5733333333334,1009.8,2.357806158065796,5
base,trend+seasonal,False,True,DLP_Blind,1396.1979999999999,63.53825041657977,0.0,501.24000000000007,1231.2,3.8112526416778563,5
